,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-1.037,1.552,-4.096,1.623,0.042,0.042,1428.263,896.621,1.0
beta[0],0.018,1.247,-2.275,2.38,0.036,0.03,1205.468,1149.587,1.001
